target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-02-14,central_tanshi,MXN/JPY,セントラル短資FX,1.0,None,None,2/13 (MXN/JPY),error,2026/02/12
2026-02-14,click365_okasan,MXN/JPY,クリック365,1.0,None,None,None,error,None
2026-02-14,dmm,MXN/JPY,DMM FX,1.0,None,None,None,error,None
2026-02-14,gaitame,MXN/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-02-14,gmo,MXN/JPY,GMO外貨,1.0,None,None,None,error,None
2026-02-14,gmo_click,MXN/JPY,GMOクリック証券,1.0,None,None,None,error,None
2026-02-14,hirose,MXN/JPY,ヒロセ通商,1.0,None,None,None,error,None
2026-02-14,invast,MXN/JPY,トライオートFX,1.0,None,None,None,error,None
2026-02-14,linefx,MXN/JPY,linefx,1.0,None,None,None,error,None
2026-02-14,matsui,MXN/JPY,MATSUI FX,1.0,None,None,None,error,None
2026-02-14,saxo,MXN/JPY,サクソバンク証券,None,None,None,None,error,2026/02/06
2026-02-14,sbi,MXN/JPY,SBI FXトレード,1.0,None,None,None,error,None
2026-02-14,traders_light,MXN/JPY,LIGHT FX,1.0,None,None,None,error,None
2026-02-14,traders_light_light,MXN/JPY,LIGHT FX（LIGHT）,1.0,None,None,None,error,None
2026-02-14,traders_min,MXN/JPY,みんなのFX,1.0,None,None,None,error,None
2026-02-14,traders_min_light,MXN/JPY,みんなのFX（LIGHT）,1.0,None,None,None,error,None
2026-02-15,central_tanshi,MXN/JPY,セントラル短資FX,1.0,None,None,None,error,None
2026-02-15,click365_okasan,MXN/JPY,クリック365,1.0,None,None,None,error,2026/02/15
2026-02-15,dmm,MXN/JPY,DMM FX,1.0,None,None,None,error,None
2026-02-15,gaitame,MXN/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-02-15,gmo,MXN/JPY,GMO外貨,1.0,0.0,0.0,None,success,2026/02/15
2026-02-15,gmo_click,MXN/JPY,GMOクリック証券,1.0,0.0,0.0,None,success,2026/02/15
2026-02-15,hirose,MXN/JPY,ヒロセ通商,1.0,None,None,None,error,None
2026-02-15,invast,MXN/JPY,トライオートFX,1.0,None,None,None,error,2026/02/15
2026-02-15,jfx,MXN/JPY,JFX,1.0,None,None,None,error,None
2026-02-15,linefx,MXN/JPY,linefx,1.0,None,None,None,error,None
2026-02-15,matsui,MXN/JPY,MATSUI FX,1.0,None,None,None,error,None
2026-02-15,saxo,MXN/JPY,サクソバンク証券,1.0,None,None,None,error,None
2026-02-15,sbi,MXN/JPY,SBI FXトレード,1.0,None,None,None,error,2026/02/15
2026-02-15,traders_light,MXN/JPY,LIGHT FX,1.0,None,None,02/15,error,None
2026-02-15,traders_light_light,MXN/JPY,LIGHT FX（LIGHT）,1.0,None,None,None,error,2026/02/15
2026-02-15,traders_min,MXN/JPY,みんなのFX,1.0,None,None,None,error,None
2026-02-15,traders_min_light,MXN/JPY,みんなのFX（LIGHT）,1.0,None,None,02/15,error,2026/02/15
2026-02-16,central_tanshi,MXN/JPY,セントラル短資FX,1.0,14.5,-16.5,2/17,success,2026/02/16
2026-02-16,click365_okasan,MXN/JPY,クリック365,1.0,None,None,None,error,2026/02/16
2026-02-16,dmm,MXN/JPY,DMM FX,1.0,None,None,None,error,None
2026-02-16,gaitame,MXN/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-02-16,gmo,MXN/JPY,GMO外貨,1.0,14.1,-14.1,None,success,2026/02/16
2026-02-16,gmo_click,MXN/JPY,GMOクリック証券,1.0,None,None,None,error,2026/02/16
2026-02-16,hirose,MXN/JPY,ヒロセ通商,1.0,5.0,-10.0,None,error,2021/02/16
2026-02-16,invast,MXN/JPY,トライオートFX,1.0,None,None,None,error,2026/02/16
2026-02-16,jfx,MXN/JPY,JFX,1.0,None,None,None,error,None
2026-02-16,linefx,MXN/JPY,linefx,1.0,11.0,-16.0,None,success,2026/02/16
2026-02-16,matsui,MXN/JPY,MATSUI FX,1.0,12.0,-22.0,None,success,2026/02/16
2026-02-16,saxo,MXN/JPY,サクソバンク証券,1.0,None,None,None,error,None
2026-02-16,sbi,MXN/JPY,SBI FXトレード,1.0,None,None,None,error,None
